Domain,Node,Schedule,Action,Start_Time,WeekDays,Status,ReturnCode
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,8
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
WIN,HAIAPP04,WIN_1800,INCREMENTAL,18:00:00,Any,Completed,0
